start,end,date,value
2010-04-01,2010-06-01,2010-05-01,-0.012
2010-05-01,2010-07-01,2010-06-01,-0.008
2010-06-01,2010-08-01,2010-07-01,-0.004
2010-07-01,2010-09-01,2010-08-01,-0.001
2010-08-01,2010-10-01,2010-09-01,-0.002
2010-09-01,2010-11-01,2010-10-01,-0.002
2010-10-01,2010-12-01,2010-11-01,-0.006
2010-11-01,2011-01-01,2010-12-01,-0.008
2010-12-01,2011-02-01,2011-01-01,-0.013
2011-01-01,2011-03-01,2011-02-01,-0.015
2011-02-01,2011-04-01,2011-03-01,-0.017
2011-03-01,2011-05-01,2011-04-01,-0.016
2011-04-01,2011-06-01,2011-05-01,-0.016
2011-05-01,2011-07-01,2011-06-01,-0.018
2011-06-01,2011-08-01,2011-07-01,-0.02
2011-07-01,2011-09-01,2011-08-01,-0.024
2011-08-01,2011-10-01,2011-09-01,-0.024
2011-09-01,2011-11-01,2011-10-01,-0.024
2011-10-01,2011-12-01,2011-11-01,-0.021
2011-11-01,2012-01-01,2011-12-01,-0.02
2011-12-01,2012-02-01,2012-01-01,-0.017
2012-01-01,2012-03-01,2012-02-01,-0.016
2012-02-01,2012-04-01,2012-03-01,-0.012
2012-03-01,2012-05-01,2012-04-01,-0.01
2012-04-01,2012-06-01,2012-05-01,-0.007
2012-05-01,2012-07-01,2012-06-01,-0.005
2012-06-01,2012-08-01,2012-07-01,-0.003
2012-07-01,2012-09-01,2012-08-01,-0.004
2012-08-01,2012-10-01,2012-09-01,-0.006
2012-09-01,2012-11-01,2012-10-01,-0.009
2012-10-01,2012-12-01,2012-11-01,-0.011
2012-11-01,2013-01-01,2012-12-01,-0.012
2012-12-01,2013-02-01,2013-01-01,-0.014
2013-01-01,2013-03-01,2013-02-01,-0.016
2013-02-01,2013-04-01,2013-03-01,-0.015
2013-03-01,2013-05-01,2013-04-01,-0.014
2013-04-01,2013-06-01,2013-05-01,-0.014
2013-05-01,2013-07-01,2013-06-01,-0.015
2013-06-01,2013-08-01,2013-07-01,-0.017
2013-07-01,2013-09-01,2013-08-01,-0.017
2013-08-01,2013-10-01,2013-09-01,-0.016
2013-09-01,2013-11-01,2013-10-01,-0.014
2013-10-01,2013-12-01,2013-11-01,-0.011
2013-11-01,2014-01-01,2013-12-01,-0.007
2013-12-01,2014-02-01,2014-01-01,-0.005
2014-01-01,2014-03-01,2014-02-01,-0.005
2014-02-01,2014-04-01,2014-03-01,-0.009
2014-03-01,2014-05-01,2014-04-01,-0.01
2014-04-01,2014-06-01,2014-05-01,-0.011
2014-05-01,2014-07-01,2014-06-01,-0.01
2014-06-01,2014-08-01,2014-07-01,-0.009
2014-07-01,2014-09-01,2014-08-01,-0.004
2014-08-01,2014-10-01,2014-09-01,0.001
2014-09-01,2014-11-01,2014-10-01,0.004
2014-10-01,2014-12-01,2014-11-01,0.005
2014-11-01,2015-01-01,2014-12-01,0.007
2014-12-01,2015-02-01,2015-01-01,0.012
2015-01-01,2015-03-01,2015-02-01,0.018
2015-02-01,2015-04-01,2015-03-01,0.023
2015-03-01,2015-05-01,2015-04-01,0.024
2015-04-01,2015-06-01,2015-05-01,0.024
2015-05-01,2015-07-01,2015-06-01,0.024
2015-06-01,2015-08-01,2015-07-01,0.023
2015-07-01,2015-09-01,2015-08-01,0.021
2015-08-01,2015-10-01,2015-09-01,0.017
2015-09-01,2015-11-01,2015-10-01,0.016
2015-10-01,2015-12-01,2015-11-01,0.015
2015-11-01,2016-01-01,2015-12-01,0.016
2015-12-01,2016-02-01,2016-01-01,0.016
2016-01-01,2016-03-01,2016-02-01,0.016
2016-02-01,2016-04-01,2016-03-01,0.016
2016-03-01,2016-05-01,2016-04-01,0.015
2016-04-01,2016-06-01,2016-05-01,0.015
2016-05-01,2016-07-01,2016-06-01,0.013
2016-06-01,2016-08-01,2016-07-01,0.014
2016-07-01,2016-09-01,2016-08-01,0.013
2016-08-01,2016-10-01,2016-09-01,0.013
2016-09-01,2016-11-01,2016-10-01,0.013
2016-10-01,2016-12-01,2016-11-01,0.01
2016-11-01,2017-01-01,2016-12-01,0.006
2016-12-01,2017-02-01,2017-01-01,0
2017-01-01,2017-03-01,2017-02-01,-0.003
2017-02-01,2017-04-01,2017-03-01,-0.006
2017-03-01,2017-05-01,2017-04-01,-0.005
2017-04-01,2017-06-01,2017-05-01,-0.005
2017-05-01,2017-07-01,2017-06-01,-0.004
2017-06-01,2017-08-01,2017-07-01,-0.004
2017-07-01,2017-09-01,2017-08-01,-0.004
2017-08-01,2017-10-01,2017-09-01,-0.004
2017-09-01,2017-11-01,2017-10-01,-0.004
2017-10-01,2017-12-01,2017-11-01,-0.003
2017-11-01,2018-01-01,2017-12-01,-0.002
2017-12-01,2018-02-01,2018-01-01,0.001
2018-01-01,2018-03-01,2018-02-01,0.003
2018-02-01,2018-04-01,2018-03-01,0.005
2018-03-01,2018-05-01,2018-04-01,0.005
2018-04-01,2018-06-01,2018-05-01,0.004
2018-05-01,2018-07-01,2018-06-01,0.005
2018-06-01,2018-08-01,2018-07-01,0.007
2018-07-01,2018-09-01,2018-08-01,0.009
2018-08-01,2018-10-01,2018-09-01,0.01
2018-09-01,2018-11-01,2018-10-01,0.011
2018-10-01,2018-12-01,2018-11-01,0.013
2018-11-01,2019-01-01,2018-12-01,0.015
2018-12-01,2019-02-01,2019-01-01,0.015
2019-01-01,2019-03-01,2019-02-01,0.015
2019-02-01,2019-04-01,2019-03-01,0.015
2019-03-01,2019-05-01,2019-04-01,0.017
2019-04-01,2019-06-01,2019-05-01,0.02
2019-05-01,2019-07-01,2019-06-01,0.019
2019-06-01,2019-08-01,2019-07-01,0.019
2019-07-01,2019-09-01,2019-08-01,0.018
2019-08-01,2019-10-01,2019-09-01,0.018
2019-09-01,2019-11-01,2019-10-01,0.017
2019-10-01,2019-12-01,2019-11-01,0.017
2019-11-01,2020-01-01,2019-12-01,0.015
2019-12-01,2020-02-01,2020-01-01,0.013
2020-01-01,2020-03-01,2020-02-01,0.01
2020-02-01,2020-04-01,2020-03-01,0.004
2020-03-01,2020-05-01,2020-04-01,-0.003
2020-04-01,2020-06-01,2020-05-01,-0.009
2020-05-01,2020-07-01,2020-06-01,-0.006
2020-06-01,2020-08-01,2020-07-01,0.002
2020-07-01,2020-09-01,2020-08-01,0.012
2020-08-01,2020-10-01,2020-09-01,0.021
2020-09-01,2020-11-01,2020-10-01,0.028
2020-10-01,2020-12-01,2020-11-01,0.033
2020-11-01,2021-01-01,2020-12-01,0.035
2020-12-01,2021-02-01,2021-01-01,0.035
2021-01-01,2021-03-01,2021-02-01,0.036
2021-02-01,2021-04-01,2021-03-01,0.044
2021-03-01,2021-05-01,2021-04-01,0.049
2021-04-01,2021-06-01,2021-05-01,0.052
2021-05-01,2021-07-01,2021-06-01,0.045
2021-06-01,2021-08-01,2021-07-01,0.034
2021-07-01,2021-09-01,2021-08-01,0.022
2021-08-01,2021-10-01,2021-09-01,0.01
2021-09-01,2021-11-01,2021-10-01,0
2021-10-01,2021-12-01,2021-11-01,-0.007
2021-11-01,2022-01-01,2021-12-01,-0.009
2021-12-01,2022-02-01,2022-01-01,-0.01
2022-01-01,2022-03-01,2022-02-01,-0.012
2022-02-01,2022-04-01,2022-03-01,-0.022
2022-03-01,2022-05-01,2022-04-01,-0.026
2022-04-01,2022-06-01,2022-05-01,-0.03
2022-05-01,2022-07-01,2022-06-01,-0.028
2022-06-01,2022-08-01,2022-07-01,-0.028
2022-07-01,2022-09-01,2022-08-01,-0.027
2022-08-01,2022-10-01,2022-09-01,-0.027
2022-09-01,2022-11-01,2022-10-01,-0.025
2022-10-01,2022-12-01,2022-11-01,-0.025
2022-11-01,2023-01-01,2022-12-01,-0.023
2022-12-01,2023-02-01,2023-01-01,-0.022
2023-01-01,2023-03-01,2023-02-01,-0.02
2023-02-01,2023-04-01,2023-03-01,-0.012
2023-03-01,2023-05-01,2023-04-01,-0.006
2023-04-01,2023-06-01,2023-05-01,0.001
2023-05-01,2023-07-01,2023-06-01,0.006
2023-06-01,2023-08-01,2023-07-01,0.011
